Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
FR;MARSEILLE 8E ARRONDISSEMENT;MARSEILLE RABATAU;43.27644999994541, 5.397359999748624;NO;eea;µg/m³;82.6;2024-03-11T04:00:00-05:00;France
FR;DONGES;PARSCAU DU PLESSIS;47.319157000232174, -2.0669530004165564;PM10;eea;µg/m³;8.5;2024-10-22T23:00:00-05:00;France
FR;SAVENAY;SAVENAY;47.36074999970067, -1.9547499997471107;SO2;eea;µg/m³;1.2;2024-10-22T21:00:00-05:00;France
FR;ROGNAC;Rognac les Brets;43.51080300023596, 5.2200459996634505;PM2.5;eea;µg/m³;6.8;2024-10-21T20:00:00-05:00;France
FR;;Balcony;48.826771809060084, 2.332162797396593;UM003;airgradient;particles/cm³;2569.517862955729;2024-09-23T04:00:00-05:00;France
FR;COLMAR;Colmar Centre;48.074642000044044, 7.350666999722242;SO2;eea;µg/m³;0.0;2019-09-12T03:00:00-05:00;France
FR;LISIEUX;Lisieux;49.147223999955635, 0.22722199966736098;NO2;eea;µg/m³;4.9;2024-06-12T04:00:00-05:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;44.84138999999998, -0.65;NO;EEA France;µg/m³;36.8;2024-03-04T01:00:00-06:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;45.18972, 0.727222;NO2;EEA France;µg/m³;15.3;2024-03-04T01:00:00-06:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;46.162556, -1.153603;NO;EEA France;µg/m³;5.7;2024-03-04T01:00:00-06:00;France
FR;ATMO OCCITANIE;NET-FR068A;43.587219999999995, 1.443889;NO2;EEA France;µg/m³;23.9;2024-03-04T01:00:00-06:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;43.310832999999995, -0.391111;PM2.5;EEA France;µg/m³;3.4;2024-03-04T01:00:00-06:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;46.58389, 0.345556;CO;EEA France;µg/m³;493.0;2024-03-04T01:00:00-06:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;46.143173, -0.396042;PM2.5;EEA France;µg/m³;5.3;2024-01-29T11:00:00-06:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;44.508655999999995, 0.142503;PM2.5;EEA France;µg/m³;5.7;2024-03-04T00:00:00-06:00;France
FR;ATMO OCCITANIE;NET-FR068A;43.64305499999999, 1.46765;PM2.5;EEA France;µg/m³;9.0;2024-03-04T01:00:00-06:00;France
FR;ATMO OCCITANIE;NET-FR068A;43.61055799999999, 2.23;PM10;EEA France;µg/m³;6.3;2024-03-04T01:00:00-06:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;43.37611, -0.536944;NO2;EEA France;µg/m³;20.6;2024-03-04T01:00:00-06:00;France
FR;AIR PAYS DE LA LOIRE;NET-FR035A;47.32282599999999, -2.039853;PM2.5;EEA France;µg/m³;9.6;2024-01-29T10:00:00-06:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;44.80055599999999, -0.588056;PM2.5;EEA France;µg/m³;5.2;2024-03-01T13:00:00-06:00;France
FR;ATMO OCCITANIE;NET-FR068A;43.630280000000006, 0.179722;PM2.5;EEA France;µg/m³;2.9;2024-03-01T03:00:00-06:00;France
FR;ATMO AUVERGNE-RHÔNE-ALPES;NET-FR071A;45.772167, 3.0875;PM10;EEA France;µg/m³;0.1;2024-02-05T00:00:00-06:00;France
FR;QUALITAIR CORSE;NET-FR065A;41.95802699999998, 8.820278;PM10;EEA France;µg/m³;21.2;2024-01-30T04:00:00-06:00;France
FR;Bouches-du-Rhône;FR02041;43.6389642135529, 5.09999637937892;NO2;EEA France;µg/m³;27.8;2024-01-29T11:00:00-06:00;France
FR;Isère;FR15046;45.1806746477571, 5.72005850424242;NO2;EEA France;µg/m³;94.0;2024-01-29T11:00:00-06:00;France
FR;Alpes-Maritimes;FR24007;43.5997495987433, 7.094723434072;O3;EEA France;µg/m³;57.8;2024-01-29T11:00:00-06:00;France
FR;Alpes-de-Haute-Provence;FR24018;43.8353015894571, 5.78583314934565;O3;EEA France;µg/m³;41.0;2024-01-29T11:00:00-06:00;France
FR;Nord;FR10029;50.9959079994751, 2.365994;O3;EEA France;µg/m³;15.1;2024-01-29T11:00:00-06:00;France
FR;Yonne;FR26019;47.800565861042706, 3.57639077544232;PM2.5;EEA France;µg/m³;10.8;2024-01-29T00:00:00-06:00;France
FR;Paris;FR04012;48.8277822163547, 2.32749896854232;CO;EEA France;µg/m³;531.0;2021-01-04T07:00:00-06:00;France
FR;;FR07028;45.9293204617359, 2.82980992596343;PM10;EEA France;µg/m³;6.9;2022-12-25T04:00:00-06:00;France
FR;;FR34057;46.9429682344805, 2.00326104989222;NO2;EEA France;µg/m³;2.7;2021-12-29T15:00:00-06:00;France
FR;;FR25048;49.42806687626571, 1.05777523020358;NO2;EEA France;µg/m³;43.9;2020-12-30T04:00:00-06:00;France
FR;;FR09016;45.608821999463295, 0.09972200000000002;O3;EEA France;µg/m³;45.1;2020-01-13T04:00:00-06:00;France
FR;;FR31014;43.307777999464, -0.322778;O3;EEA France;µg/m³;27.4;2019-01-21T04:00:00-06:00;France
FR;;FR26002;47.304163999465, 5.02;O3;EEA France;µg/m³;50.68;2018-07-11T08:00:00-05:00;France
FR;;FR04143;48.8594439994682, 2.351111;O3;EEA France;µg/m³;78.0;2018-04-24T19:00:00-05:00;France
FR;;FR06003;50.3666639994728, 3.082778;PM10;EEA France;µg/m³;7.35;2018-04-24T19:00:00-05:00;France
FR;;FR10032;50.6938919994739, 1.576389;PM10;EEA France;µg/m³;9.53;2018-04-24T19:00:00-05:00;France
FR;;FR06006;50.36471899947279, 3.5236110000000003;PM2.5;EEA France;µg/m³;6.35;2018-04-24T19:00:00-05:00;France
FR;;FR06011;50.3274999994726, 3.4;NO2;EEA France;µg/m³;8.78;2018-04-24T19:00:00-05:00;France
FR;;FR04146;48.8174999994681, 2.395;NO2;EEA France;µg/m³;72.0;2018-04-20T01:00:00-05:00;France
FR;;FR01009;49.2713919994693, 6.1325;SO2;EEA France;µg/m³;5.2;2018-04-12T07:00:00-05:00;France
FR;;FR01009;49.2713919994693, 6.1325;PM10;EEA France;µg/m³;2.0;2018-04-11T00:00:00-05:00;France
FR;;Fougeres DSTE;48.34748569864203, -1.202224327889997;O3;EEA France;µg/m³;52.95;2017-06-30T02:00:00-05:00;France
FR;;Dunkerque Port;51.05207295693919, 2.3537836737556526;SO2;EEA France;µg/m³;6.7;2017-03-28T11:00:00-05:00;France
FR;;St Pol/mer Nord;51.033829767865704, 2.33519753052722;NO2;EEA France;µg/m³;21.63;2017-03-07T05:00:00-06:00;France
FR;;Evreux  Boulevard de Normandie;49.020202317088426, 1.1387134373027465;PM2.5;EEA France;µg/m³;38.5;2016-12-04T12:00:00-06:00;France
FR;CALAIS;Calais Parmentier;50.95779999990659, 1.890080000372347;SO2;eea;µg/m³;0.7;2024-10-23T02:00:00-05:00;France
FR;ROUBAIX;Roubaix Serres;50.70653500003718, 3.1806600001209713;PM10;eea;µg/m³;7.0;2024-10-21T08:00:00-05:00;France
FR;MULHOUSE;Mulhouse Nord;47.757434999743786, 7.347294000103539;NO;eea;µg/m³;43.6;2024-03-11T03:00:00-05:00;France
FR;SAINT-RÉMY-SUR-AVRE;Saint-Remy;48.760886999768296, 1.2336389999755368;NO2;eea;µg/m³;9.5;2024-10-23T02:00:00-05:00;France
FR;SAINT-RÉMY-SUR-AVRE;Saint-Remy;48.760886999768296, 1.2336389999755368;CO;eea;µg/m³;296.0;2024-03-11T04:00:00-05:00;France
FR;MUNCHHAUSEN;Nord-Est Alsace;48.91935699988632, 8.158457999835527;SO2;eea;µg/m³;0.0;2019-09-13T06:00:00-05:00;France
FR;MONTLHÉRY;RN20 - MONTLHERY;48.6409299998147, 2.2687200004265597;NO2;eea;µg/m³;54.4;2024-10-23T02:00:00-05:00;France
FR;BOURG-LÈS-VALENCE;A7 Valence Est;44.94919999994974, 4.890133000257068;NO2;eea;µg/m³;10.0;2024-10-23T02:00:00-05:00;France
FR;CHAMONIX-MONT-BLANC;BOSSONS;45.90722299981236, 6.84583299985817;PM10;eea;µg/m³;17.6;2024-10-21T20:00:00-05:00;France
FR;ANNECY;ANNECY Rocade;45.90969999998834, 6.118249999587261;NO2;eea;µg/m³;31.0;2024-10-23T02:00:00-05:00;France
FR;CHARLEVILLE-MÉZIÈRES;CHARLEVILLE;49.74527699993869, 4.719166999924358;PM10;eea;µg/m³;6.4;2024-10-23T02:00:00-05:00;France
FR;GAILLARD;GAILLARD;46.19368999983019, 6.214857999887688;NO;eea;µg/m³;2.0;2024-02-22T02:00:00-06:00;France
FR;METZ;Metz-Centre;49.11944200020038, 6.180832999656292;PM10;eea;µg/m³;26.3;2024-10-23T02:00:00-05:00;France
FR;PARIS 8E ARRONDISSEMENT;Av Champs Elysees;48.86877000026755, 2.3112309997697755;NO2;eea;µg/m³;32.3;2024-10-23T02:00:00-05:00;France
FR;NEVERS;Nevers;46.996825999797785, 3.1710920000123655;O3;eea;µg/m³;2.0;2024-10-23T02:00:00-05:00;France
FR;AIX-EN-PROVENCE;AIX CENTRE ECOLE ART;43.53028499968472, 5.440912000080743;PM2.5;eea;µg/m³;7.7;2024-10-23T02:00:00-05:00;France
FR;TOURS;La Bruyère;47.41908299971269, 0.6829439998174496;NO2;eea;µg/m³;29.8;2024-10-23T02:00:00-05:00;France
FR;SAINT-OMER;St Omer Ribot;50.74823000023542, 2.2597799999566677;O3;eea;µg/m³;26.3;2024-10-23T02:00:00-05:00;France
FR;MOULINS;Moulins Centre;46.561973999905426, 3.3406389002497177;NO;eea;µg/m³;0.7;2024-03-08T01:00:00-06:00;France
